An atmosphere (from Ancient Greek ἀτμός (atmós) 'vapour, steam', and σφαῖρα (sphaîra) 'sphere') is a layer of gas or layers of gases that envelope a planet, and is held in place by the gravity of the planetary body.	Gas is one of the four fundamental states of matter (the others being solid, liquid, and plasma).
A bag (also known regionally as a sack) is a common tool in the form of a non-rigid container.	Textile is an umbrella term that includes various fiber-based materials, including fibers, yarns, filaments, threads, different fabric types, etc.
A beach is a landform alongside a body of water which consists of loose particles.	Sand is a granular material composed of finely divided rock and mineral particles.
A beard is the hair that grows on the jaw, chin, upper lip, lower lip, cheeks, and neck of humans and some non-human animals.	Hair is a protein filament that grows from follicles found in the dermis.
A body (Latin: corpus) is the physical material of an organism.	Flesh is any aggregation of soft tissues of an organism.
A boot is a type of footwear.	Leather is a strong, flexible and durable material obtained from the tanning, or chemical treatment, of animal skins and hides to prevent decay.
A bottle is a narrow-necked container made of an impermeable material (such as glass, plastic or aluminium) in various shapes and sizes that stores and transports liquids.	Glass is a non-crystalline, often transparent amorphous solid, that has widespread practical, technological, and decorative use in, for example, window panes, tableware, and optics.
A bowl typically is a round dish or container generally used for preparing, serving, or consuming food.	A ceramic is any of the various hard, brittle, heat-resistant and corrosion-resistant materials made by shaping and then firing an inorganic, nonmetallic material, such as clay, at a high temperature.
A box (plural: boxes) is a container used for the storage or transportation of its contents.	Cardboard is a generic term for heavy paper-based products.
Bread is a staple food prepared from a dough of flour (usually wheat) and water, usually by baking.	Flour is a powder made by grinding raw grains, roots, beans, nuts, or seeds.
Bronze is an alloy consisting primarily of copper, commonly with about 12–12.5% tin and often with the addition of other metals (such as aluminum, manganese, nickel or zinc) and sometimes non-metals, such as phosphorus, or metalloids such as arsenic, or silicon.	Copper is a chemical element with the symbol Cu (from Latin: cuprum) and atomic number 29.
Candy, also called sweets (British English) or lollies (Australian English, New Zealand English),[a] is a confection that features sugar as a principal ingredient.	ugar is the generic name for sweet-tasting, soluble carbohydrates, many of which are used in food.
Chocolate is a food product made from roasted and ground cacao seed kernels, that is available as a liquid, solid or paste, on its own or as a flavoring agent in other foods.	The cocoa bean (technically cocoa seed) or simply cocoa (/ˈkoʊ.koʊ/), also called the cacao bean (technically cacao seed) or cacao (/kəˈkaʊ/),[1] is the dried and fully fermented seed of Theobroma cacao, from which cocoa solids (a mixture of nonfat substances) and cocoa butter (the fat) can be extracted.
Clothing (also known as clothes, apparel, and attire) are items worn on the body.	Textile is an umbrella term that includes various fiber-based materials, including fibers, yarns, filaments, threads, different fabric types, etc.
In meteorology, a cloud is an aerosol consisting of a visible mass of miniature liquid droplets, frozen crystals, or other particles suspended in the atmosphere of a planetary body or similar space.	Water vapor, water vapour or aqueous vapor is the gaseous phase of water.
A cocktail is an alcoholic mixed drink.	An alcoholic drink (also called an alcoholic beverage, adult beverage, or simply a drink) is a drink that contains ethanol, a type of alcohol that acts as a drug and is produced by fermentation of grains, fruits, or other sources of sugar.
Concrete is a composite material composed of fine and coarse aggregate bonded together with a fluid cement (cement paste) that hardens (cures) over time.	A cement is a binder, a substance used for construction that sets, hardens, and adheres to other materials to bind them together.
A desk or bureau is a piece of furniture with a flat table-style work surface used in a school, office, home or the like for academic, professional or domestic activities such as reading, writing, or using equipment such as a computer.	Wood is a porous and fibrous structural tissue found in the stems and roots of trees and other woody plants.
Diamond is a solid form of the element carbon with its atoms arranged in a crystal structure called diamond cubic.	"Carbon (from Latin: carbo ""coal"") is a chemical element with the symbol C and atomic number 6."
A door handle or doorknob is a handle used to open or close a door.	"A metal (from Greek μέταλλον métallon, ""mine, quarry, metal"") is a material that, when freshly prepared, polished, or fractured, shows a lustrous appearance, and conducts electricity and heat relatively well."
A flag is a piece of fabric (most often rectangular or quadrilateral) with a distinctive design and colours.	Textile is an umbrella term that includes various fiber-based materials, including fibers, yarns, filaments, threads, different fabric types, etc.
A glacier (US: /ˈɡleɪʃər/; UK: /ˈɡlæsiər, ˈɡleɪsiər/) is a persistent body of dense ice that is constantly moving under its own weight.	Ice is water frozen into a solid state, typically forming at or below temperatures of 0 degrees Celsius or 32 degrees Fahrenheit.
Glass is a non-crystalline, often transparent amorphous solid, that has widespread practical, technological, and decorative use in, for example, window panes, tableware, and optics.	Silicon dioxide, also known as silica, is an oxide of silicon with the chemical formula SiO2, most commonly found in nature as quartz and in various living organisms.
A house is a single-unit residential building.	Wood is a porous and fibrous structural tissue found in the stems and roots of trees and other woody plants.
Ice is water frozen into a solid state, typically forming at or below temperatures of 0 degrees Celsius or 32 degrees Fahrenheit.	Water (chemical formula H2O) is an inorganic, transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent[1]).
An icicle is a spike of ice formed when water falling from an object freezes.	Ice is water frozen into a solid state, typically forming at or below temperatures of 0 degrees Celsius or 32 degrees Fahrenheit.
"Jam refers to a product made of whole fruit cut into pieces or crushed, then heated with water and sugar until it reaches ""jelling"" or ""setting"" point, which is achieved through the action of natural or added pectin."	In botany, a fruit is the seed-bearing structure in flowering plants that is formed from the ovary after flowering.
Jeans are a type of pants or trousers made from denim or dungaree cloth.	Denim is a sturdy cotton warp-faced[1] textile in which the weft passes under two or more warp threads.
A lawn is an area of soil-covered land planted with grasses and other durable plants such as clover which are maintained at a short height with a lawnmower (or sometimes grazing animals) and used for aesthetic and recreational purposes.	Poaceae (/poʊˈeɪsiaɪ/) or Gramineae (/ɡrəˈmɪniaɪ/) is a large and nearly ubiquitous family of monocotyledonous flowering plants commonly known as grasses.
