Sweden , along with India , was to determine the how much the US would have to compensate China .	Along with India , what other nation was to determine the how much the US would have to compensate China ?
Yale 's endowment is worth $ 25.6 billion .	How much is Yale 's endowment worth ?
In 1982 , the allowed print room staff at The Times and The Sunday Times was reduced by half .	In 1982 , the allowed print room staff at The Times and The Sunday Times was reduced by how much ?
Energy that was saved and re-used due to regenerative braking in 1989 was 2.65 % .	How much of energy was saved and re-used due to regenerative braking in 1989 ?
Outside of Washington , minority leaders travel around the country to speak on behalf of party candidates ; and they encourage incumbent colleagues to make significant financial contributions .	Outside of Washington how much involvement do minority leaders have in campaigns ?
Kerry lost by 35 electoral votes .	How much did Kerry lose by ?
Kerry owed $ 437,500 in sales tax on the yacht .	How much sales tax did Kerry owe on the yacht ?
25 % of the population in Bern is Jewish .	How much of the population is Jewish in Bern ?
200 million kilowatt hours of electricity are imported by Estonia annually .	How much electricity is imported by Estonia annually ?
Napoleon sold the Louisiana Territory to the United States for 15 million dollars .	How much did Napoleon sell the Louisiana Territory to the United States for ?
One tenth of the population must have been in favor of the revision .	How much of the population must have been in favor of the revision ?
George Sands was six years older than Chopin .	How much older was George Sands than Chopin ?
55 % identified as white .	How much identified as white ?
More than half of the Brazilian population are descendants of slavery .	How much of the Brazilian population are descendants of slavery ?
Electric motors use more than half the energy in the modern United States .	How much energy do electric motors use in the modern United States ?
50.6 % of the working population uses public transportation .	How much of the working population uses public transportation ?
80 % of the population of Salvado , Bahia is black or mixed race .	How much of the population of Salvador , Bahia is black or mixed race ?
Global sea levels would rise 70 m ( 230 ft ) if Greenland and Antartica 's glaciers were to melt .	How much would global sea levels rise if Greenland and Antartica 's glaciers were to melt ?
It cost $ 30 million to build the operations base of Southampton 's police service .	How much did it cost to build the operations base of Southampton 's police service ?
Of all the species on earth , insects make up less than 20 % .	Of all the species on earth , how much do insects make up ?
The 1954 class donated $ 70 million for their 50th reunion .	How much did the 1954 class donate for their 50th reunion ?
Malarial mortality was reduced by 85 % from 1998-2006 by the National Malaria Protection Unit .	How much did the National Malaria Protection Unit reduce malarial mortality by from 1998 - 2006 ?
A complete copy of an asexual organism 's genome is inherited from its parents .	How much of an asexual organism 's genome is inherited from its parents ?
By the early 20th century , over half of the overall Greek-speaking population was settled in Asia Minor ( now Turkey ) .	After the 19th century about how much of the Greek population resided in little Asia ?
The average cost of hospital stays for asthma-related issues for children is about $ 3,600 .	How much was the average cost of hospital stays for asthma-related issues for children ??
The FAA proposed to fine Southwest $ 10.2 million for failing to inspect older planes .	How much did the FAA propose to fine Southwest for failing to inspect older planes ?
Paris was considered lucky for Chopin to have arrived at , considering how much he charged for piano lessons .	What place was considered lucky for Chopin to have arrived at considering how much he charged for piano lessons ?
In 1992 estimated tax breaks saved each student $ 1,945 per year .	How much did estimated tax breaks save per student in 1992 ?
In the last 40 years worldwide paper consumption has risen 400 % .	In the last 40 years , how much has worldwide paper consumption risen ?
No single state comprised of more then 30 % of the population after World War II .	No single state comprised of how much of the population after World War II ?
Around 15 million of the construction at Holyport College is predicted to cost .	How much is construction of Holyport College predicted to cost ?
Penalties against airlines cost $ 25,000 per violation .	How much do penalties against airlines cost per violation ?
In 2000 , Sichuan produced 21.9 % of China 's wine .	How much of China 's wine did Sichuan produce in 2000 ?
The State Department gave the traffickers over $ 806,000 .	How much money did the State Department give the traffickers ?
99 % of glacial ice is found surrounding the poles .	How much glacial ice is found surrounding the poles ?
Evidence currently available remains scant of the link between the Greek and Armenian languages .	How much evidence of the link between the languages is currently available ?
The Habsburgs had to pay 40 million francs as a result of the Treaty of Pressburg .	How much did the Habsburgs have to pay as a result of the Treaty of Pressburg ?
Mianying Hi-Tech Industrial Development Zone has output 177.4 billion yuan since its inception .	How much value has Mianyang Hi-Tech Industrial Development Zone output since inception ?
1.562 billion kilowatt hours of electricity is exported by Estonia annually .	How much electricity is exported by Estonia annually ?
Chopin 's funeral and monument cost 5,000 francs .	How much did Chopin 's funeral and monument cost ?
In Brazil , blacks earn 50 % less compared to whites .	In Brazil , how much less do blacks earn compared to whites ?
12.72 % of the population had no religion .	How much of the population had no religion ?
Diesel was 1.5 times more expensive per unit of heat energy content compared to electricity per unit .	How much more expensive was diesel compare to electricity per unit ?
Shell planned to raise from the sale of its assets $ 2 -- 3bn .	How much did Shell plan to raise from the sale of its assets ?
75 % of consumed electricity is produced by Estonia itself .	How much of consumed electricity does Estonia produce by itself ?
Electric trains used 25 % less fuel per ton-km than diesel in the middle of 1970 in USSR .	How much fuel did electric train used less than diesel in the middle of 1970 in USSR ?
The North Koreans gave 2,000 railway cars worth of material to the Chinese communists .	How much material did the North Koreans give to the Chinese communists ?
Visits to The Times website have decreased by 87 % since October 2011 .	Visits to The Times website have decreased by how much since October 2011 ?
To begin to slide on steep glaciers 15 m ( 50 ft ) of ice and snow is minimally necessary .	How much ice and snow is minimally necessary to begin to slide on steep glaciers ?
One third of a Glacier 's thickness is usually involved during crust depression into the mantle .	How much of a glacier 's thickness is usually involved during crust depression into the mantle ?
