Hans Christian Andersen (/ˈændərsən/, Danish: [ˈhænˀs ˈkʰʁestjæn ˈɑnɐsn̩] ( listen); 2 April 1805 – 4 August 1875) was a Danish author.	An author is the creator or originator of any written work such as a book or play, and is also considered a writer or poet.
Aristotle (/ˈærɪstɒtəl/;[4] Greek: Ἀριστοτέλης Aristotélēs, pronounced [aristotélɛːs]; 384–322 BC) was a Greek philosopher and polymath during the Classical period in Ancient Greece.	A philosopher is someone who practices philosophy.
Honoré de Balzac (/ˈbælzæk/ BAL-zak,[2] more commonly US: /ˈbɔːl-/ BAWL-,[3][4][5] French: [ɔnɔʁe d(ə) balzak]; born Honoré Balzac;[1] 20 May 1799 – 18 August 1850) was a French novelist and playwright.	A writer is a person who uses written words in different writing styles and techniques to communicate ideas.
Ludwig van Beethoven[n 1] (baptised 17 December 1770 – 26 March 1827) was a German composer and pianist. Beethoven remains one of the most admired composers in the history of Western music; his works rank amongst the most performed of the classical music repertoire and span the transition from the Classical period to the Romantic era in classical music.	A composer is a person who writes music. 
Gaius Julius Caesar (Latin: [ˈɡaːiʊs ˈjuːliʊs ˈkae̯sar]; 12 July 100 BC – 15 March 44 BC) was a Roman general and statesman.	A general officer is an officer of high rank in the armies, and in some nations' air forces, space forces, and marines or naval infantry.[a]
Christopher Columbus[a] (/kəˈlʌmbəs/;[3] born between 25 August and 31 October 1451, died 20 May 1506) was an Italian[b] explorer and navigator who completed four Spanish-based voyages across the Atlantic Ocean sponsored by the Catholic Monarchs of Spain, opening the way for the widespread European exploration and colonization of the Americas.	An explorer is a person involved in exploration
"Confucius (/kənˈfjuːʃəs/ kən-FEW-shəs; Chinese: 孔夫子; pinyin: Kǒng Fūzǐ, ""Master Kǒng""; or commonly 孔子; Kǒngzǐ; c. 551 – c. 479 BCE) was a Chinese philosopher and politician of the Spring and Autumn period who is traditionally considered the paragon of Chinese sages."	A philosopher is someone who practices philosophy.
Dante Alighieri (Italian: [ˈdante aliˈɡjɛːri]), probably baptized Durante di Alighiero degli Alighieri[note 1] and often referred to simply as Dante (/ˈdɑːnteɪ, ˈdænteɪ, ˈdænti/,[2][3] also US: /ˈdɑːnti/;[4] c. 1265 – 14 September 1321), was an Italian[a] poet, writer and philosopher. 	A poet is a person who creates poetry.
Charles Robert Darwin FRS FRGS FLS FZS JP[6] (/ˈdɑːrwɪn/;[7] DAHR-win; 12 February 1809 – 19 April 1882) was an English naturalist, geologist and biologist,[8] best known for his contributions to evolutionary biology. 	A biologist is a scientist who conducts research in biology. 
John Christopher Depp II (born June 9, 1963) is an American actor, producer, and musician.	An actor or actress is a person who portrays a character in a performance.
René Descartes (/deɪˈkɑːrt/ or UK: /ˈdeɪkɑːrt/; French: [ʁəne dekaʁt] ( listen); Latinized: Renatus Cartesius;[note 3][15] 31 March 1596 – 11 February 1650[16][17][18]: 58 ) was a French lay Catholic philosopher, scientist, and mathematician, widely considered a seminal figure in the emergence of modern philosophy and science.	A philosopher is someone who practices philosophy.
Charles John Huffam Dickens FRSA (/ˈdɪkɪnz/; 7 February 1812 – 9 June 1870) was an English writer and social critic.	A novelist is an author or writer of novels, though often novelists also write in other genres of both fiction and non-fiction.
