9,468 people were widows or widowers in Bern in 2000 .	How many people were widows or widowers in Bern in 2000 ?
After the 1949 election , the Liberals stayed in office for a record 23 years .	How many years did the Liberals stay in office after the 1949 election ?
There are 354 local authorities in England .	How many Local Authorities are there in England ?
The Prelude field was estimated to contain 3 trillion cubic feet of natural gas reserves .	The Prelude field was estimated to contain how many cubic feet of natural gas reserves ?
Rajasthan is 342,239 square kilometers .	How many square kilometers is Rajasthan ?
Napoleon 's army captured 170 standards in the Italian campaign .	How many standards did Napoleon 's army capture in the Italian campaign ?
Violent crime in Southampton has decreased for three consecutive years .	For how many consecutive years has violent crime in Southampton decreased ?
Shell operates in over 90 countries .	How many countries does Shell operate in ?
Four stages happen in complete metamorphosis .	How many stages happen in complete metamorphosis ?
There are three free states in Germany .	How many free states are there in Germany ?
200,000 French troops were involved in the crossing of the Rhine .	How many French troops were involved in the crossing of the Rhine ?
17,000 students attend Southampton Solent University .	How many students attend Southampton Solent University ?
More than 15,000 slaves were freed in the American Civil War .	How many slaves were freed in the american civil war ?
Guinea-Bissau contains eight regions .	How many regions does Guinea-Bissau contain ?
10,979 students were attending school during the 2009-2010 school year .	How many students were attending school during the 2009-2010 school year ?
489.5 grams were in the livre du roi .	How many grams were in the livre du roi ?
3,570 Southampton residents were claiming job seeker 's allowance in March of 2007 .	How many Southampton residents were claiming job seeker 's allowance in March , 2007 ?
Between 250,000 and 345,000 people die from asthma per year .	How many people die per year from asthma ?
One out of about every 14 students will be suspended from school .	Out of about every 14 students , how many will be suspended from school ?
forty-eight South Korean National Assemblyman pledged their alliance to Seoul .	How many South Korean National Assemblyman pledged their allegiance to Seoul ?
71.6 millions of tons of paper are wasted in the US each year .	How many millions of tons of paper are wasted in the US each year ?
A sexual organism has two copies of each chromosome .	How many copies of each chromosome does a sexual organism have ?
An editor worked for The Times for 14 years before resigning in 1982 .	How many years as an editor was editor who resigned from The Times in 1982 ?
He owned 150,000 black slaves .	How many black slaves did he own ?
Over 3,000 people arrived without an invitation .	How many people arrived without an invitation ?
By the end of 2016 , 1550 people are projected to be working onsite at WestQuay Watermark .	By the end of 2016 , how many people are projected to be working onsite at WestQuay Watermark ?
Shell has 44,000 service stations worldwide .	Shell has how many service stations worldwide ?
Seventy original Scholars were there in the original School .	How many original Scholars were there in the original School ?
Approximately , 44,000 Russians were hurt , killed , or captured in the Battle of Borodino .	Approximately how many Russians were hurt , killed , or captured in the Battle of Borodino ?
Insects can adopt a variety of gaits .	Insects can adopt how many gaits ?
Two ferries connect to the Isle of Wight .	How many of the ferries connect to the Isle of Wight ?
16 % of the people in Oman-Qutar have African lineage .	How many people in Oman-Qatar have African lineage ?
Approximately 300,000 French troops were kept in Iberia during the Peninsular War .	Approximately how many French troops were kept in Iberia during the Peninsular War ?
There were approximately 13000 troops in the army that Napoleon led into Damascus .	Approximately how many troops were in the army Napoleon led into Damascus ?
There are more than 20 minor political parties .	How many minor political parties are there ?
Southampton have two local Sunday football leagues	How many local Sunday football leagues does Southampton have ?
There are 136 high tech enterprises that are present in the Mianyang Hi-Tech Industrial Development Zone .	How many high-tech enterprises are present in the Mianyang Hi-Tech Industrial Development Zone ?
492 bird species have been observed in San Diego	How many bird species have been observed in San Diego ?
In 2001 , over a million black people lived in the UK .	In 2001 how many black people lived in the UK ?
There are five councilors .	How many councilors are there ?
There are 15 million books in the Yale University Library .	How many books are in the Yale University Library ?
An estimated 683,000 Afro-Spaniards currently live in Spain .	How many Afro-Spaniards currently live in Spain ?
There are five members are in the Supreme court .	How many members are in the Supreme court ?
73 members are in a house	How many members are in a house ?
Eleven campus buildings are candidates for LEED design and certification .	How many campus buildings are candidates for LEED design and certification ?
There are three fire stations in Southampton city limits .	How many fire stations are there in Southampton city limits ?
80 members are part of the City Parliament .	How many members are part of the City Parliament ?
Japanese were hoping to kill tens of thousands of civilians during their planned attack on San Diego	How many civilians were the Japanese hoping to kill during their planned attack on San Diego ?
Several proposals have failed so far .	How many proposals have failed so far ?
The UN Security Council had five permanent members .	How many permanent members did the UN Security Council have ?
