Disagreements following the Eritrean War resulted in a stalemate .	What did disagreements following the Eritrean War result in ?
Communists and leftists were excluded from the South Korean political process .	What two groups were excluded from the South Korean political process ?
AZT is used in the treatment of AIDS .	What is used in the treatment of AIDS ?
If recommit fails , then the choice that needs to be made by minority representatives is to say we did our best to come up with a better alternative or they could vote for it and make the same argument .	If recommit fails , then what choice needs to be made by minority representatives ?
The name of the bacteria inside of tree roots is Frankia	What is the name of a bacteria inside of tree roots ?
According to Mendelian inheritance , variations in its genotype cause variations in an organism 's phenotype .	According to Mendelian inheritance , what is part of the cause of variations in an organism 's phenotype ?
Greenpeace claimed that Shell requested Google to ban a video footage of a Greenpeace protest action that occurred at the Shell-sponsored Formula One ( F1 ) Belgian Grand Prix .	Greenpeace claimed that Shell requested Google to ban what ?
An insect recalling a specific location for up to a year is called philopatry .	An insect recalling a specific location for up to a year is called what ?
About 75.7 % of Estonians claim no religion .	What percentage of Estonians claim no religion ?
1967 was the year in which constitutional discrimination ended .	What year was constitutional discrimination ended ?
The website , thetime.co.uk , is aimed at daily readers .	The website , thetimes.co.uk , is aimed at what kind of reader ?
Alatians began sailing towards the United States from 1820 to 1850 .	Between what years did Alatians begin to sail towards the United States ?
The Thar Desert is also known as the `` Rajasthan Desert '' and the `` Great Indian Desert '' .	What are alternative names the Thar Desert is known by ?
Thor is the famous Viking God who is associated with Tharapita .	What famous Viking God is associated with Tharapita ?
The Times travel magazine first sold in 2003 .	In what year was The Times ' travel magazine first sold ?
Sharia law is still in practice in which heresy results in execution .	What type of law is still in practice in which heresy results in execution ?
In 1952 , the FCC began licensing UHF channels .	In what year did UHF channels beging being licensed by the FCC ?
Some of the claims being pointed towards education inequality is that children did not exceed the education of their parents .	What are some of the claims being pointed towards education inequality ?
Liszt first saw Chopin perform on 26 February 1832 .	What was the date that LIszt first saw Chopin perform ?
Georg Orwell Wrote the book Nineteen Eight-four .	What is the name of the author of Nineteen Eighty-Four ?
Chopin and Sand ultimately brought their relationship to a close in 1847 .	In what year did Chopin and Sand ultimately bring their relationship to a close ?
Estonia established a flat tax in 1994 .	What year did Estonia establish a flat tax ?
Metaphysics , epistemology , axiology and the philosophical approaches make up field education and a field applied philosophy .	What fields make up field education and a field applied philosophy ?
The city centre is the Southampton area that is located between Itchen and Test rivers .	What Southampton area is located between the Itchen and Test rivers ?
The area in US that discontinued using overhead wires for streetcars in 1962 was Washington , D.C.	What area in US discontinued using overhead wires for streetcars in 1962 ?
Boundaries are frequently used by researchers to help define identity .	Boundaries are frequently used by researchers to help define what ?
The first feature film in Guinea-Bissau was made in 1987 .	What year was the first feature film made in Guinea-Bissau ?
Elihu Yale 's father 's name was David .	What was Elihu Yale 's father 's name ?
The type of scheme involves trade offs among other things is data compression	What type of scheme involves trade offs among other things ?
In the 2007 meeting with the government , Rupert Murdoch , owner of The Times , states that the law and the independent board prevented him from exercising editorial control .	In the 2007 meeting with the government , Rupert Murdoch , owner of The Times , stated that the law and the independent board prevented him from doing what ?
Liszt shows to have elements of Chopin in his work .	What other musician shows to have elements of Chopin in his work ?
The thing well known about this period is it is so named because it set the standards by which Greek civilization would be judged in later eras .	What is so well known about this period ?
Some viruses store their entire genome in the form of RNA .	In what form do some viruses store their entire genome ?
Beer tours attract a large number of visitors to San Diego .	What type of tours attract a large number of visitors to San Diego ?
`` Mauri '' is Moors in English .	What is Mauri in English ?
Social medicine was the driving force behind Milton Winternitz 's research .	What was the driving force behind Milton Winternitz 's research ?
The 24th Infantry Division suffered major losses at the Battle of Taejon .	At what Battle did the 24th Infantry Division suffer major losses ?
Yogācāra school arised in the 4th century .	In what century did the Yogācāra school arise ?
The americo-liberians encounters with tribal Africans were violent confrontations .	What were americo-liberians encounters like with tribal Africans ''
Chengu was known to supply the country with armies .	What was Chengu known to supply the country with ?
The population of Bern is 140,634 .	What is the population of Bern ?
The herbivores have a mutualistic type of relationship with the bacteria in their intestines .	What type of relationship do herbivores have with the bacteria in their intestines ?
The Chopin boarding house was called the Chopin Family Parlour in English .	What was the Chopin boarding house called in English ?
The hollow sphere that a zygote initially develops into is called a blastula .	What is the hollow sphere that a zygote initially develops into called ?
Linear predictive coding is thought of as a basic perceptual coding technique .	What is thought of as a basic perceptual coding technique ?
Institutionally autonomous are used to describe faculty of law and Medicine .	What two words are used to describe the Faculty of Law and Faculty of Medicine ?
The famous French leader Napolean had established the Polish state at this time .	What famous French leader had established the Polish state at this time ?
The SEPTA system uses 12 kV voltage .	What voltage does SEPTA system use ?
Kerry 's PAC was Keeping America 's Promise .	What was Kerry 's PAC ?
According to the democratic rules of the 106th congress , the minority leader heads the Steering Committee .	According to democratic rules of the 106th congress what committee does minority leader head ?
