The Roman Emperor proposed to change the way business with the Greeks was to be conducted when he imposed an embargo on trade with the Caliphate .	Who proposed that change was needed in the way business with the Greeks was to be conducted ?
Alexander Hamilton was Treasury Secretary at time of first congress .	Who was Treasury Secretary at time of first congress ?
Ellen Johnson Sirleaf was a Harvard-trained economist and former Minister of Finance .	Who is ellen johnson sirleaf ?
Frederic met Felix Mendelssohn in the spring of 1834 at the Lower Rhenish Music Festival .	Who did Frédéric meet in the spring of 1834 at the Lower Rhenish Music Festival ?
The South primarily initiated the clashes along the 38th parallel .	Who primarily initiated the clashes along the 38th parallel ?
Feodor Rostopchin was the name of the governor who ordered the burning of Moscow .	What was the name of the governor who ordered the burning of Moscow ?
Syngman Rhee was elected president of South Korea on July 20 , 1948 .	Who was elected president of South Korea on July 20 , 1948 ?
Vieira was assassinated on 2 March 2009 .	Who was assassinated on 2 March 2009 ?
General Edward Almond coordinated the efforts of the ROK Army , Marine Corps and the US Army to stage a successful battle .	Who coordinated the efforts of the ROK Army , Marine Corps and the US Army to stage a successful battle ?
After freedom was won by the Greeks the Greek War of Independence , Greeks of the diaspora were important in establishing the fledgling state .	After freedom was won by the Greeks who was of import to forming the rules ?
Kerry visited Nicaragua with Senator Tom Harkin .	Who did Kerry visit Nicaragua with ?
Hans Hiltbrand created all the statues except the Zahringer fountain .	Who created all the statues except the Zahringer fountain ?
Turnbull was elected to replace Tony Abbott .	Who was Turnbull elected to replace ?
Amy Solomon was the first undergraduate woman at Yale .	Who was the first undergraduate woman at Yale ?
Bashar al-Assad was Syria 's president in 2014 .	Who was Syria 's president in 2014 ?
Alumnus Eero Saarinen created the Gateway Arch found in St. Louis , Missouri .	Who created the Gateway Arch in St. Louis ?
André Masséna led the French army defending Genoa against the Austrian siege .	Who led the French army defending Genoa against the Austrian siege ?
Stanley Morison , commissioned the change of the typeface of The Times in 1931 .	Who commissioned the change of the typeface of The Times in 1931 ?
Commodore Robert F. Stockton commissioned Captain Archibald Gillespie to lead 50 men on horseback to the north .	Who commissioned Captain Archibald Gillespie to lead 50 men on horseback to the north ?
Literature on how earnings and how it relates to schooling was greatly influenced by Jacob Mincer .	Literature on how earnings and how it relates to schooling was greatly influenced by who ?
Nicholas Temperley wrote that `` improvisation is designed for an audience '' .	Who wrote that `` improvisation is designed for an audience '' ?
Chopin his vacation in 1824 and 1825 spent with Dominik Dziewanowski	During his vacation in 1824 and 1825 who did Chopin spend his vacation with ?
Chopin revealed which parts of his work were about the singing student he was infatuated with in letters to Tytus Woyciechowski .	To whom did Chopin reveal in letters which parts of his work were about the singing student he was infatuated with ?
Archbishop Pietro Parolin met Kerry in Jan 2014 .	Who met Kerry in Jan 2014 ?
Mao was a proponent for intervening in Korea .	Who was a proponent for intervening in Korea ?
Minor officials administered the `` Pencil Test '' .	Who administered the `` Pencil Test '' ?
Liszt apologized to Chopin for adding embellishments to a musical piece he perforemed that was written by Chopin .	Who apologized to Chopin for adding embellishments to a musical piece he perforemed that was written by Chopin ?
Clésinger sculpted Chopin 's tombstone .	Who sculpted Chopin 's tombstone ?
Dennis Hastert was speaker of the house when Tom Delay was Majority leader .	Who was speaker of the house When Tom Delay was Majority leader ?
air traffic controllers are the people who used maps , blackboards , and mental calculation to ensure the safe separation of aircraft traveling between cities called .	What were the people who used maps , blackboards , and mental calculation to ensure the safe separation of aircraft traveling between cities called ?
Bantu , Khoisan , and European descents were included in the Coloured group .	Who was included in the Coloured group ?
Edward S. Harkness financed a large chunk of the architecture from 1917 to 1931 .	Who financed a large chunk of the architecture from 1917 to 1931
Chopin felt compfortable speaking of folk music with Aklan .	With who did Chopin feel comfortable speaking of folk music with ?
During the fall of 2004 , Bush was accused of not fulfilling his military service .	Who was accused on not fulfilling their military service , during the fall of 2004 ?
Locke and Algernon Sidney 's concepts of universal rights influenced the Whigs .	Name the two people who 's concepts of universal rights influenced the Whigs .
The offence is the team who begins a play with control of the ball .	What is the term for the team who begins a play with control of the ball ?
Augustine of Hippo wrote The City of God .	Who wrote The City of God ?
Joseph Renzulli along with Dunn recommended other teaching studies .	Who also along with Dunn recommended other teaching studies ?
Berlioz wrote about Chopin 's `` chromatic embroidery '' .	Who wrote about Chopin 's `` chromatic embroidery '' ?
Lawrence Lowell represented Harvard during the rule changing debates .	Who represented Harvard during the rule changing debates ?
Cayetano Ripoll was the last known person to be sentenced to death for the crime of heresy by the Roman Catholic Church .	Who was the last known person to be sentenced to death for the crime of heresy by the Roman Catholic Church ?
Li Bing engineered the Dujiangyan irrigation system to control the Min River .	Who engineered the Dujiangyan irrigation system to control the Min River ?
The party secretary maintains the daily work and records of party meetings .	Who maintains the daily work and records of party meetings ?
James Rassmann fell overboard from Kerry 's boat .	Who fell overboard from Kerry 's boat ?
Euclid wrote the book Elements .	Who wrote the book Elements ?
General MacArthur was relieved from his duties as Commander in Korea .	Who was relieved from his duties as Commander in Korea ?
Alexander Scriabin was devoted to the music of Chopin .	Who was devoted to the music of Chopin ?
China vowed to intervene if the US was to engage in conflict North of the 38th parallel .	Who vowed to intervene if the US was to engage in conflict North of the 38th parallel ?
The colonial settlements were raided by the Kru and Grebo people from their inland chiefdoms .	Who raided the colonial settlements ?
The formation of identity occurs through identifications with significant others .	The formation of identity occurs through identifications with whom ?
