A chair is a type of seat, typically designed for one person and consisting of one or more legs, a flat seat and a back-rest.	Furniture refers to movable objects intended to support various human activities such as seating (e.g., stools, chairs, and sofas), eating (tables), storing items, eating and/or working with an item, and sleeping (e.g., beds and hammocks).
A blender (sometimes called a mixer or liquidiser in British English) is a kitchen and laboratory appliance used to mix, crush, purée or emulsify food and other substances.	A food processor is a kitchen appliance used to facilitate repetitive tasks in the preparation of food.
A bracelet is an article of jewellery that is worn around the wrist.	Jewellery or jewelry consists of decorative items worn for personal adornment, such as brooches, rings, necklaces, earrings, pendants, bracelets, and cufflinks.
A brooch (/ˈbroʊtʃ/, also US: /ˈbruːtʃ/[1]) is a decorative jewelry item designed to be attached to garments, often to fasten them together.	Jewellery or jewelry consists of decorative items worn for personal adornment, such as brooches, rings, necklaces, earrings, pendants, bracelets, and cufflinks.
Cake is a flour confection made from flour, sugar, and other ingredients, and is usually baked.	Dessert is a course that concludes a meal.
A computer is a digital electronic machine that can be programmed to carry out sequences of arithmetic or logical operations (computation) automatically.	A machine is a physical system using power to apply forces and control movement to perform an action.
A croissant (UK: /ˈkrwʌsɒ̃, ˈkrwæsɒ̃/,[1] US: /krəˈsɒnt, krwɑːˈsɒ̃/, French: [kʁwasɑ̃] (listen)) is a buttery, flaky, French viennoiserie pastry inspired by the shape of the Austrian kipferl but using the French yeast-leavened laminated dough.	Pastry is baked food made with a dough of flour, water and shortening (solid fats, including butter or lard) that may be savoury or sweetened.
A cup is an open-top used to hold hot or cold liquids for pouring or drinking; while mainly used for drinking, it also can be used to store solids for pouring (e.g., sugar, flour, grains, salt).	Tableware is any dish or dishware used for setting a table, serving food, and dining. It includes cutlery, glassware, serving dishes, and other items for practical as well as decorative purposes.
Denim is a sturdy cotton warp-faced[1] textile in which the weft passes under two or more warp threads.	Textile is an umbrella term that includes various fiber-based materials, including fibers, yarns, filaments, threads, different fabric types, etc.
A deodorant is a substance applied to the body to prevent or mask body odor due to bacterial breakdown of perspiration or vaginal secretions, for example in the armpits, groin, or feet.	Personal care or toiletries are consumer products used in personal hygiene, personal grooming or for beautification.
A desk or bureau is a piece of furniture with a flat table-style work surface used in a school, office, home or the like for academic, professional or domestic activities such as reading, writing, or using equipment such as a computer.	Furniture refers to movable objects intended to support various human activities such as seating (e.g., stools, chairs, and sofas), eating (tables), storing items, eating and/or working with an item, and sleeping (e.g., beds and hammocks).
A diary is a written or audiovisual record with discrete entries arranged by date reporting on what has happened over the course of a day or other period.	A document is a written, drawn, presented, or memorialized representation of thought, often the manifestation of non-fictional, as well as fictional, content.
A dishwasher is a machine used to clean dishware, cookware and cutlery automatically.	A home appliance, also referred to as a domestic appliance, an electric appliance or a household appliance,[1] is a machine which assists in household functions[2] such as cooking, cleaning and food preservation.
